"Reference","Quantity","Value","Footprint","LCSC Part","DNP"
"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15","15","2u2","stdpads:C_0603","C23630",""
"FID1, FID2, FID3, FID4","4","Fiducial","stdpads:Fiducial","",""
"H1, H2, H3, H4","4","","stdpads:PasteHole_1.152mm_NPTH","",""
"J1","1","ROM","stdpads:MacIIROMSIMM_Edge","",""
"R1, R2, R4","3","3k3","stdpads:R_0603","C22978",""
"R3","1","100","stdpads:R_0603","C22775",""
"SW1","1","ROM Sel.","stdpads:SW_DIP_SPSTx03_Slide_DSHP03TS_P1.27mm","C319051",""
"U1, U2","2","MX29LV640","stdpads:TSOP-I-48_18.4x12mm_P0.5mm","C30076",""
"U3, U4, U5, U6, U7, U9, U10","7","74LVC245APW","stdpads:TSSOP-20_4.4x6.5mm_P0.65mm","C6082",""
"U11","1","XC6206P332MR","stdpads:SOT-23","C5446",""
"U12","1","74LVC1G02GW","stdpads:SOT-353","C353856",""
