"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","LCSC Part"
"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, ","15","2u2","C_Small","stdpads:C_0603","Unpolarized capacitor, small symbol","","C23630"
"FID1, FID2, FID3, FID4, ","4","Fiducial","Fiducial","stdpads:Fiducial","Fiducial Marker","",""
"H1, H2, H3, H4, ","4","","MountingHole_Pad","stdpads:PasteHole_1.152mm_NPTH","Mounting Hole with connection","",""
"J1, ","1","ROM","Conn_02x32_Counter_Clockwise","stdpads:MacIIROMSIMM_Edge","Generic connector, double row, 02x32, counter clockwise pin numbering scheme (similar to DIP packge numbering), script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"R1, R2, R4, ","3","3k3","R_Small","stdpads:R_0603","Resistor, small symbol","","C22978"
"R3, ","1","100","R_Small","stdpads:R_0603","Resistor, small symbol","","C22775"
"SW1, ","1","ROM Sel.","SW_DIP_x03","stdpads:SW_DIP_SPSTx03_Slide_DSHP03TS_P1.27mm","3x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol","","C319052"
"U1, U2, ","2","MX29LV640","Flash-4Mx16-TSOP1-48","stdpads:TSOP-I-48_18.4x12mm_P0.5mm","","","C117907"
"U3, U4, U5, U6, U7, U9, U10, ","7","74AHC245","74245","stdpads:TSSOP-20_4.4x6.5mm_P0.65mm","","","C132987"
"U11, ","1","XC6206P332MR","XC6206PxxxMR","stdpads:SOT-23","Positive 60-250mA Low Dropout Regulator, Fixed Output, SOT-23","","C5446"
"U12, ","1","74LVC1G02GW","741G02GW","stdpads:SOT-353","","","C353856"
