Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0805",79.502000,-105.918000,270.000000,top
"C2","10u","C_0805",79.502000,-121.920000,90.000000,top
"C3","10u","C_0805",161.798000,-105.918000,270.000000,top
"C4","10u","C_0805",161.798000,-121.539000,90.000000,top
"C5","2u2","C_0603",120.650000,-123.444000,270.000000,top
"C6","2u2","C_0603",120.650000,-104.648000,270.000000,top
"FID1","Fiducial","Fiducial",75.946000,-103.251000,0.000000,top
"FID2","Fiducial","Fiducial",75.438000,-123.444000,0.000000,top
"FID3","Fiducial","Fiducial",167.894000,-123.444000,0.000000,top
"FID4","Fiducial","Fiducial",165.354000,-103.251000,0.000000,top
"U1","D31-24","PLCC-32_SMDSocket",90.170000,-113.030000,0.000000,top
"U2","D23-16","PLCC-32_SMDSocket",110.490000,-113.030000,0.000000,top
"U3","D15-8","PLCC-32_SMDSocket",130.810000,-113.030000,0.000000,top
"U4","D7-0","PLCC-32_SMDSocket",151.130000,-113.030000,0.000000,top
